event_day,account_age_days,total_bookings_90d,chargeback_rate_90d,cancellation_rate_90d,bookings_24h,recent_holds_24h,recent_late_cancellations_90d,seats_requested,hours_until_departure,country_mismatch,payment_attempts_10m,device_linked_to_fraud,card_on_blocklist,interaction_duration_seconds,fields_pasted,pointer_events,payment_fraud_label,inventory_abuse_label
0,2,12,0.08333333333333333,0.16666666666666666,3,2,0,3,0.6120280925387405,1,12,1,0,79.8579750922278,1,33,1,0
0,608,89,0.0,0.14606741573033707,1,1,0,4,15.152271670705922,0,2,0,0,80.47133707873822,3,27,0,0
0,502,76,0.013157894736842105,0.07894736842105263,1,3,1,2,22.104952339162498,0,1,0,0,74.25933594078269,0,35,0,0
0,335,77,0.0,0.06493506493506493,6,3,0,4,81.87038728755142,0,1,0,0,89.849292864375,1,41,0,0
0,1150,110,0.0,0.43636363636363634,35,18,7,20,200.38453608924053,1,1,0,0,142.3799611497605,1,37,0,1
0,107,39,0.0,0.41025641025641024,51,17,5,17,99.76844250985147,0,1,0,0,78.16207063248001,1,43,0,1
0,350,62,0.0,0.04838709677419355,4,1,0,3,11.81011149574222,0,1,0,0,123.48177324631033,0,34,0,0
0,493,87,0.0,0.11494252873563218,1,2,0,4,136.0342922526835,0,1,0,0,81.77650401646775,1,31,0,0
0,248,57,0.017543859649122806,0.14035087719298245,2,2,0,3,363.3510569622963,0,2,0,0,109.38056945443684,1,39,0,0
0,207,46,0.0,0.15217391304347827,6,1,0,2,447.1144752976006,0,1,0,0,58.853069042452546,0,40,0,0
0,1765,123,0.0,0.43902439024390244,32,19,5,21,162.4055000437126,0,1,0,0,27.9320116960263,2,36,0,1
0,483,86,0.0,0.09302325581395349,37,2,0,4,104.51592423312576,0,1,0,0,4.328050484933461,6,0,0,0
0,804,86,0.0,0.05813953488372093,0,1,0,2,22.374033387232412,0,1,0,0,121.89381516201249,1,35,0,0
0,389,69,0.0,0.14492753623188406,6,1,0,2,0.6933548756167663,0,1,0,0,71.14821666120994,1,31,0,0
0,561,69,0.014492753623188406,0.08695652173913043,3,3,0,4,201.34515925789154,0,3,0,0,61.00217245589006,1,35,0,0
0,212,43,0.0,0.06976744186046512,25,1,2,3,59.071099445803206,0,1,0,0,7.249956280510945,10,2,0,0
0,217,58,0.0,0.08620689655172414,39,1,0,3,1.5634116747819267,0,2,0,0,4.906806234518285,9,0,0,0
0,520,76,0.0,0.07894736842105263,4,2,0,6,183.10903052816417,0,1,0,0,47.5340581039972,1,29,0,0
0,435,80,0.025,0.0625,4,3,1,3,200.57417604066472,0,1,0,0,101.93954924187906,1,37,0,0
0,946,122,0.0,0.11475409836065574,4,1,0,2,12.899959538266087,0,1,0,0,57.21607844278659,2,38,0,0
0,119,43,0.0,0.0,3,1,0,2,274.2605980123868,0,1,0,0,103.82077330542073,1,33,0,0
0,235,65,0.0,0.07692307692307693,24,0,0,3,22.37941788049898,0,2,0,0,5.6365778782175004,4,1,0,0
0,43,25,0.04,0.04,50,4,0,4,3.034112318737651,1,6,0,0,7.186084580248215,11,1,0,0
0,1199,101,0.0,0.07920792079207921,5,1,0,2,1.3200275020034031,0,1,0,0,67.95181279274505,2,31,0,0
